user_id,age,gender,food_choice,berth_choice,opted_berth,opted_ss_concession,bedroll_choice
3,32,M,,LB,0,0,0
16,25,M,,MB,0,0,0
110,33,M,,WS,0,1,0
177,29,M,,UB,0,0,0
218,31,M,,LB,0,1,0
241,29,M,,SU,0,0,0
249,20,M,,NC,0,1,0
257,25,M,V,LB,0,1,0
701,45,M,,NC,0,0,0
717,28,M,V,SL,0,1,0
725,45,M,,SL,0,0,0
737,30,M,,LB,0,1,0
874,70,M,,NC,0,1,0
1031,40,F,,SL,0,0,0
1244,33,M,,WS,0,0,0
1589,25,M,,LB,0,0,0
1603,36,M,N,SL,0,0,0
1734,16,M,D,LB,0,1,0
1738,41,F,,NC,0,0,0
1841,27,M,,LB,0,0,0
1847,59,M,,NC,0,0,0
2320,34,M,,UB,0,1,0
2334,32,M,,UB,0,1,0
2377,39,M,V,LB,0,0,0
2634,69,M,,WS,0,1,0
2675,35,M,,WS,0,0,0
2731,44,M,,NC,0,0,0
2764,22,M,,NC,0,0,0
2772,29,M,,SL,0,0,0
2776,29,M,,SL,0,1,0
3030,31,M,,LB,0,0,0
3085,28,M,,WS,0,1,-1
3144,26,M,,UB,0,0,0
3213,32,M,,LB,0,0,0
3263,37,M,,SL,0,0,0
3323,41,M,,LB,0,0,0
3523,24,M,,NC,0,1,-1
3637,30,M,,LB,0,1,0
3647,28,M,,SL,0,0,0
4162,64,M,,LB,0,1,0
4395,31,M,,LB,0,0,0
4437,29,M,,NC,0,0,0
4751,47,M,V,MB,0,1,0
4768,27,M,,LB,0,0,0
5034,26,M,,NC,0,0,0
5351,30,M,,LB,0,0,0
5577,28,M,,SL,0,0,0
5614,27,M,,WS,0,1,0
6059,25,M,,SL,0,0,0
6156,27,M,,SU,0,1,-1
6463,25,M,,SL,0,0,0
6535,28,M,V,NC,0,0,0
6711,36,M,,SL,0,0,0
6758,35,M,,LB,0,0,0
6916,37,M,N,WS,0,1,0
7114,27,M,,NC,0,0,0
7223,26,M,,SL,0,0,0
7254,30,M,,NC,0,0,0
7301,28,M,,NC,0,0,0
7350,31,M,V,WS,0,0,0
7430,30,F,,LB,0,1,0
7610,26,M,,SU,0,0,0
8815,30,M,,UB,0,0,0
9225,35,M,,NC,0,0,0
9977,29,M,,UB,0,0,0
10229,34,M,,WS,0,1,-1
10353,33,M,,WS,0,0,0
11008,26,M,,NC,0,0,0
11349,78,M,,SL,0,1,0
11541,37,M,,LB,0,0,0
12227,20,M,V,LB,0,0,0
12503,31,M,,UB,0,0,0
12626,27,M,,UB,0,0,0
13269,28,M,,LB,0,1,0
13444,25,F,,WS,0,0,0
13548,28,M,,SL,0,0,0
13571,38,M,,SL,0,0,0
13830,25,M,,WS,0,0,0
14685,26,M,,LB,0,0,0
14716,35,M,,WS,0,0,0
14848,23,M,,SL,0,0,0
14902,36,M,,WS,0,0,0
15681,45,M,,NC,0,0,0
16458,43,M,,UB,0,0,0
16651,31,M,D,NC,0,0,0
16851,58,M,V,NC,0,0,0
17030,25,F,,LB,0,0,0
17280,27,M,,SU,0,0,0
17430,32,M,,SL,0,0,0
17456,33,M,,WS,0,0,0
17526,34,M,,NC,0,0,0
17766,27,M,,LB,0,0,0
17780,31,M,,LB,0,0,0
17889,28,M,N,WS,0,0,0
18161,24,M,,UB,0,0,0
18295,32,M,,LB,0,0,0
18678,27,M,,WS,0,0,0
18991,32,M,,LB,0,0,0
19631,29,M,,LB,0,0,0
20251,62,M,V,LB,0,1,0
20377,34,M,,WS,0,0,0
20931,35,M,,UB,0,0,0
21763,30,M,,UB,0,0,0
21816,41,M,,LB,0,1,0
22602,24,M,,SL,0,0,0
22822,32,M,,UB,0,0,0
23028,36,M,,LB,0,0,0
23100,29,M,,SL,0,0,0
23187,33,M,,LB,0,1,0
23188,30,M,,SL,0,0,0
24008,63,F,,NC,0,1,0
24606,38,M,,NC,0,0,0
24943,39,F,,NC,0,0,0
25266,26,M,,SU,0,0,0
25512,37,M,,LB,0,0,0
25628,50,M,,WS,0,0,0
26203,26,M,,NC,0,0,0
27197,57,M,,LB,0,1,0
27203,38,M,,NC,0,1,-1
27913,18,M,V,SL,0,1,0
27994,41,M,,LB,0,0,0
28541,26,M,,SL,0,0,0
30489,27,M,V,UB,0,0,0
31474,62,M,,LB,0,1,0
32250,25,M,,UB,0,0,0
32298,39,M,V,UB,0,0,1
32509,62,F,,LB,0,1,0
34048,30,F,,SL,0,0,0
34170,24,M,,LB,0,1,-1
34988,31,M,,UB,0,0,0
35564,13,F,,NC,0,0,0
36450,41,M,,NC,0,1,0
36632,45,M,,LB,0,0,0
37671,28,M,,SL,0,1,0
38507,47,F,,NC,0,0,0
39771,27,M,,NC,0,0,0
40095,42,M,,NC,0,1,0
40314,24,M,V,NC,0,1,0
40450,32,M,,UB,0,0,0
40886,34,M,,LB,0,1,0
40955,40,M,,LB,0,0,0
41736,25,M,,SL,0,0,0
41742,23,M,,WS,0,0,0
44350,52,M,V,NC,0,1,0
45433,47,M,,WS,0,0,0
45556,36,M,,LB,0,0,0
45602,28,M,,NC,0,0,0
45925,34,M,,LB,0,1,0
45951,35,M,,WS,0,0,0
46932,30,M,,NC,0,0,0
47709,41,M,,SL,0,0,0
48589,27,M,,WS,0,0,0
48605,29,M,,NC,0,0,0
48806,35,M,,SL,0,1,0
49052,30,M,,WS,0,0,0
49203,55,M,,WS,0,1,0
49556,29,M,V,LB,0,1,0
49581,26,M,,SL,0,0,0
50336,28,M,N,LB,0,1,0
52101,23,M,,NC,0,0,0
52523,18,F,,MB,0,0,0
53330,33,M,,LB,0,0,0
53726,31,M,,LB,0,0,0
54689,20,M,,SU,0,0,0
54855,27,F,,UB,0,0,0
55080,23,M,,SL,0,1,1
55086,25,M,,SU,0,1,-1
55592,29,F,V,UB,0,1,0
55684,34,M,,LB,0,0,0
56093,31,M,,NC,0,0,0
56678,31,M,,LB,0,0,0
56988,33,M,,WS,0,0,0
57910,56,M,,LB,0,0,0
58182,35,F,,LB,0,0,0
58754,38,M,,SU,0,1,0
59111,43,M,,MB,0,0,0
60056,29,M,N,NC,0,0,0
60454,28,M,,NC,0,0,0
60554,39,M,,SL,0,0,0
62364,49,M,,SL,0,0,0
62672,31,M,,SU,0,0,0
63448,32,F,,SL,0,0,0
63509,25,M,,SL,0,0,0
63851,22,M,V,LB,0,1,0
66033,40,M,,SL,0,0,0
67238,24,M,,UB,0,0,0
67513,32,M,V,UB,0,0,0
69044,25,M,,WS,0,0,0
71740,23,M,,SU,0,0,0
71851,41,M,,LB,0,0,0
72087,32,M,,NC,0,0,0
75216,46,F,,LB,0,0,0
75814,13,M,,NC,0,1,0
76234,36,M,N,WS,0,0,0
77282,36,M,,LB,0,0,0
78008,31,M,,NC,0,0,0
78189,41,M,V,SU,0,0,0
79837,45,F,,NC,0,0,0
82304,35,M,,LB,0,0,0
83216,20,F,,NC,0,0,0
84344,22,M,,NC,0,0,0
84667,37,M,,LB,0,0,0
85557,48,M,,WS,0,0,0
90074,30,M,,LB,0,0,0
90656,33,M,,NC,0,1,0
90848,35,M,,LB,0,0,0
91175,31,M,,NC,0,1,0
91398,24,M,,NC,0,0,0
91749,37,M,,SL,0,0,0
94189,34,M,,SU,0,0,0
95097,32,M,V,WS,0,1,-1
98141,20,M,,NC,0,0,0
100942,27,M,,WS,0,1,0
101493,51,M,,NC,0,0,0
108210,29,M,V,WS,0,0,0
108211,28,M,,LB,0,0,0
108904,32,M,,SU,0,0,0
109064,42,M,,LB,0,0,0
110249,28,M,,UB,0,0,0
112296,41,M,,WS,0,0,0
115114,25,M,,SL,0,1,0
115509,45,M,,MB,0,0,0
116182,23,M,,WS,0,0,0
116409,34,M,,SL,0,0,0
116499,54,F,V,WS,0,0,0
118247,23,M,,SL,0,0,0
118304,28,M,,LB,0,1,0
119855,57,F,,LB,0,0,0
121927,63,M,,LB,0,1,0
123300,35,M,D,NC,0,0,0
124887,35,M,,LB,0,0,0
125359,41,M,,LB,0,0,0
125457,22,M,,LB,0,0,0
127111,29,F,,WS,0,1,0
128257,30,M,,SU,0,1,0
129144,49,M,D,NC,0,0,0
129385,26,F,,LB,0,0,0
129768,32,M,V,LB,0,1,1
133274,52,M,,LB,0,0,0
